topic_id	Q0	docno	rank	score	tag
1	Q0	AP880216-0178	1	0.94710153	run_name
1	Q0	AP880213-0191	2	0.94260657	run_name
1	Q0	AP880212-0055	3	0.94108593	run_name
1	Q0	AP880216-0177	4	0.93624383	run_name
1	Q0	AP880212-0165	5	0.92879266	run_name
1	Q0	AP880215-0202	6	0.92262733	run_name
1	Q0	AP880216-0203	7	0.9006975	run_name
1	Q0	AP880216-0192	8	0.88957787	run_name
1	Q0	AP880213-0028	9	0.88790464	run_name
1	Q0	AP880217-0124	10	0.882484	run_name
1	Q0	AP880215-0019	11	0.8810692	run_name
1	Q0	AP880216-0046	12	0.8785762	run_name
1	Q0	AP880213-0194	13	0.87774485	run_name
1	Q0	AP880217-0287	14	0.8768151	run_name
1	Q0	AP880217-0010	15	0.8752376	run_name
1	Q0	AP880213-0008	16	0.87463903	run_name
1	Q0	AP880215-0231	17	0.87436	run_name
1	Q0	AP880217-0293	18	0.8699837	run_name
1	Q0	AP880212-0047	19	0.8689636	run_name
1	Q0	AP880212-0004	20	0.8683819	run_name
1	Q0	AP880216-0124	21	0.86761725	run_name
1	Q0	AP880214-0051	22	0.8666669	run_name
1	Q0	AP880213-0061	23	0.86659	run_name
1	Q0	AP880216-0062	24	0.8644175	run_name
1	Q0	AP880216-0100	25	0.8610716	run_name
1	Q0	AP880213-0170	26	0.8609539	run_name
1	Q0	AP880215-0227	27	0.85998416	run_name
1	Q0	AP880213-0184	28	0.8593436	run_name
1	Q0	AP880214-0032	29	0.8590404	run_name
1	Q0	AP880213-0100	30	0.8589884	run_name
1	Q0	AP880217-0296	31	0.8581129	run_name
1	Q0	AP880216-0025	32	0.853241	run_name
1	Q0	AP880215-0065	33	0.85237896	run_name
1	Q0	AP880213-0165	34	0.85205024	run_name
1	Q0	AP880217-0108	35	0.8516247	run_name
1	Q0	AP880217-0072	36	0.85123307	run_name
1	Q0	AP880213-0084	37	0.8506334	run_name
1	Q0	AP880215-0146	38	0.84924734	run_name
1	Q0	AP880212-0085	39	0.8449794	run_name
1	Q0	AP880213-0122	40	0.84450173	run_name
1	Q0	AP880213-0208	41	0.8444241	run_name
1	Q0	AP880212-0089	42	0.8426175	run_name
1	Q0	AP880212-0142	43	0.84256005	run_name
1	Q0	AP880217-0138	44	0.8420233	run_name
1	Q0	AP880212-0040	45	0.8410038	run_name
1	Q0	AP880216-0094	46	0.8403754	run_name
1	Q0	AP880213-0023	47	0.8403352	run_name
1	Q0	AP880217-0126	48	0.83989614	run_name
1	Q0	AP880215-0042	49	0.83917236	run_name
1	Q0	AP880214-0094	50	0.83710897	run_name
1	Q0	AP880213-0173	51	0.8362566	run_name
1	Q0	AP880212-0084	52	0.8349628	run_name
1	Q0	AP880217-0096	53	0.83495003	run_name
1	Q0	AP880212-0023	54	0.8348561	run_name
1	Q0	AP880217-0222	55	0.83385706	run_name
1	Q0	AP880217-0142	56	0.8334794	run_name
1	Q0	AP880216-0089	57	0.8322521	run_name
1	Q0	AP880215-0089	58	0.8312225	run_name
1	Q0	AP880212-0119	59	0.8296633	run_name
1	Q0	AP880215-0117	60	0.82745826	run_name
1	Q0	AP880215-0092	61	0.82484025	run_name
1	Q0	AP880213-0078	62	0.82426745	run_name
1	Q0	AP880217-0065	63	0.82248384	run_name
1	Q0	AP880215-0139	64	0.82002425	run_name
1	Q0	AP880217-0203	65	0.818166	run_name
